Time CPU_mW GPU_mW Total_mW
7380 3685 427 4113
7390 5038 424 5462
7400 2585 431 3015
7410 3935 367 4303
7420 7634 424 8058
7430 10390 402 10791
7440 9362 751 10113
7450 11360 519 11879
7460 10306 423 10729
7470 11448 500 11948
7480 13552 519 14071
7490 10651 444 11095
7500 11838 464 12302
7510 10332 472 10805
7520 11994 500 12494
7530 10837 513 11350
7540 11518 488 12005
7550 11047 683 11730
7560 11172 378 11550
7570 11325 410 11735
7580 11429 892 12321
7590 9664 450 10114
7600 11755 500 12256
7610 12848 0 12848
7620 11279 0 11279
7630 11746 0 11746
7640 11178 0 11178
7650 12642 0 12642
7660 11021 197 11218
7670 10994 632 11626
7680 13368 933 14301
7690 12912 1090 14003
7700 13243 676 13920
7710 10500 594 11094
7720 7558 489 8046
7730 10372 444 10816
7740 12036 456 12493
7750 10521 445 10967
7760 11104 736 11840
7770 11379 536 11915
7780 12797 559 13356
7790 10649 456 11105
7800 13675 439 14114
7810 11749 407 12156
7820 11064 665 11729
7830 11061 506 11567
7840 11195 500 11696
7850 11466 570 12036
7860 12776 499 13275
7870 12824 458 13282
7880 13615 725 14340
7890 12123 382 12505
7900 14267 301 14568
7910 14613 283 14896
7920 11466 1440 12906
7930 9826 343 10169
7940 11665 536 12200
7950 13456 446 13903
7960 10069 878 10947
7970 10204 344 10548
7980 12046 439 12485
7990 10261 444 10704
8000 9403 174 9577
8010 10448 633 11082
8020 7142 450 7592
8030 8139 476 8615
8040 8374 337 8711
8050 8304 375 8680
8060 10869 336 11205
8070 6869 687 7556
8080 8086 509 8595
8090 8673 598 9271
8100 6809 388 7197
8110 9445 386 9831
8120 10733 517 11250
8130 8775 340 9115
8140 7936 533 8469
8150 5987 294 6282
8160 10810 541 11351
8170 10215 806 11022
8180 11462 356 11818
8190 10553 519 11072
8200 10299 172 10470
8210 8605 467 9071
8220 8439 1015 9454
8230 10095 520 10616
8240 6945 611 7556
8250 6739 364 7103
8260 3748 937 4685
8270 6967 786 7753
8280 8515 620 9135
8290 7165 401 7566
8300 5604 524 6128
8310 8919 532 9451
8320 9951 653 10604
8330 9488 426 9914
8340 10912 642 11554
8350 10121 349 10470
8360 8522 992 9514
8370 7218 58 7276
8380 7048 433 7481
8390 8255 866 9121
8400 8740 348 9087
8410 9600 527 10128
8420 7642 820 8463
8430 9225 825 10049
8440 6891 594 7485
8450 8717 747 9465
8460 5700 684 6384
8470 6597 156 6753
8480 6803 121 6924
8490 7162 0 7162
8500 6872 69 6941
8510 7745 65 7810
8520 6726 57 6783
8530 6790 57 6847
8540 6125 61 6186
8550 7892 62 7955
8560 8076 39 8115
8570 8034 456 8490
8580 9411 405 9815
8590 9702 603 10305
8600 8559 599 9157
8610 9308 601 9908
8620 8053 1030 9177
8630 9543 522 10065
8640 10091 66 10157
8650 8649 48 8697
8660 9151 58 9210
8670 10721 160 10881
8680 9730 47 9778
8690 9114 159 9273
8700 10539 110 10649
8710 9972 358 10330
8720 10363 0 10363
8730 11873 228 12102
8740 9965 315 10279
8750 8751 607 9358
8760 9173 409 9582
8770 9206 164 9370
8780 9570 63 9632
8790 10493 49 10542
8800 12146 198 12344
8810 12058 62 12121
8820 12694 0 12694
8830 12645 0 12645
8840 12611 0 12611
8850 9733 0 9733
8860 10799 0 10799
8870 12252 0 12252
8880 10947 0 10947
