Time CPU_mW GPU_mW Total_mW
14470 474 0 474
14480 267 0 267
14490 586 0 586
14500 511 0 511
14510 258 0 258
14520 763 0 763
14530 564 0 564
14540 207 0 207
14550 433 0 433
14560 374 0 374
14570 746 0 746
14580 360 0 360
14590 434 0 434
14600 628 0 628
14610 158 0 158
14620 478 0 478
14630 474 0 474
14640 213 0 213
14650 364 0 364
14660 328 0 328
14670 466 0 466
14680 461 0 461
14690 537 0 537
14700 449 0 449
14710 157 0 157
14720 350 0 350
14730 986 0 986
14740 573 0 573
14750 786 0 786
14760 660 0 660
14770 375 0 375
14780 161 0 161
14790 688 0 688
14800 367 0 367
14810 160 0 160
14820 514 0 514
14830 319 0 319
14840 519 0 519
14850 207 0 207
14860 1041 0 1041
